Date,Groundwater Storage (Calculated)
4/1/02,-6.675
5/1/02,-5.032
8/1/02,-11.323
9/1/02,-5.266
10/1/02,-2.46
11/1/02,-4.246
12/1/02,-6.554
1/1/03,-2.352
2/1/03,-4.069
3/1/03,-7.168
4/1/03,-7.646
5/1/03,-9.073
7/1/03,-8.682
8/1/03,-9.002
9/1/03,-1.417
10/1/03,-0.97
11/1/03,-0.677
12/1/03,0.767
1/1/04,1.548
2/1/04,-1.435
3/1/04,0.838
4/1/04,-1.741
5/1/04,-4.929
6/1/04,-4.792
7/1/04,-3.47
8/1/04,-4.056
9/1/04,-2.406
10/1/04,1.491
11/1/04,0.088
12/1/04,1.477
1/1/05,-1.229
2/1/05,-0.445
3/1/05,-2.46
4/1/05,-4.744
5/1/05,-5.339
6/1/05,-8.093
7/1/05,-5.27
8/1/05,-4.255
9/1/05,-1.619
10/1/05,1.217
11/1/05,0.9
12/1/05,1.502
1/1/06,-1.217
2/1/06,-1.469
3/1/06,-2.652
4/1/06,-4.683
5/1/06,-7.275
6/1/06,-7.661
7/1/06,-8.57
8/1/06,-8.409
9/1/06,-5.003
10/1/06,-1.907
11/1/06,-2.146
12/1/06,-1.928
1/1/07,-3.588
2/1/07,-2.954
3/1/07,-4.941
4/1/07,-6.578
5/1/07,-5.296
6/1/07,-4.25
7/1/07,-6.481
8/1/07,-2.5
9/1/07,1.567
10/1/07,5.047
11/1/07,5.688
12/1/07,5.744
1/1/08,3.264
2/1/08,2.941
3/1/08,1.115
4/1/08,-0.584
5/1/08,0.002
6/1/08,-3.121
7/1/08,-0.316
8/1/08,2.631
9/1/08,6.891
10/1/08,9.094
11/1/08,10.724
12/1/08,9.567
1/1/09,8.569
2/1/09,6.801
3/1/09,3.369
4/1/09,6.135
5/1/09,0.459
6/1/09,3.428
7/1/09,-1.23
8/1/09,4.237
9/1/09,11.399
10/1/09,8.99
11/1/09,13.393
12/1/09,10.929
1/1/10,9.841
2/1/10,10.742
3/1/10,6.014
4/1/10,4.237
5/1/10,3.837
6/1/10,2.512
7/1/10,5.057
8/1/10,8.49
9/1/10,14.599
10/1/10,18.839
11/1/10,21.87
12/1/10,21.387
2/1/11,15.019
3/1/11,13.142
4/1/11,13.464
5/1/11,10.241
7/1/11,14.36
8/1/11,15.04
9/1/11,18.096
10/1/11,20.384
11/1/11,21.41
1/1/12,15.108
2/1/12,14.654
3/1/12,11.445
4/1/12,7.429
6/1/12,12.476
7/1/12,12.534
8/1/12,15.898
9/1/12,19.575
11/1/12,20.618
12/1/12,17.58
1/1/13,15.986
2/1/13,13.57
4/1/13,12.478
5/1/13,10.657
6/1/13,7.299
7/1/13,11.769
10/1/13,17.952
11/1/13,17.13
12/1/13,14.674
1/1/14,14.616
3/1/14,11.515
4/1/14,9.025
5/1/14,7.815
6/1/14,10.742
8/1/14,11.096
9/1/14,11.241
10/1/14,14.938
11/1/14,13.019
1/1/15,10.031
2/1/15,6.406
3/1/15,6.073
4/1/15,3.582
7/1/15,3.278
8/1/15,9.927
9/1/15,13.824
12/1/15,6.454
1/1/16,6.045
2/1/16,5.473
3/1/16,8.358
5/1/16,1.17
6/1/16,2.141
7/1/16,3.082
8/1/16,8.589
11/1/16,8.313
12/1/16,9.357
1/1/17,13.271
3/1/17,9.697
4/1/17,7.586
5/1/17,3.716
6/1/17,3.54
6/1/18,7.447
7/1/18,6.96
10/1/18,18.244
11/1/18,17.956
12/1/18,19.146
1/1/19,13.374
2/1/19,13.297
3/1/19,11.145
4/1/19,11.167
5/1/19,7.508
6/1/19,7.225
7/1/19,3.29
8/1/19,11.688
9/1/19,16.509
10/1/19,19.011
11/1/19,20.606
12/1/19,19.353
1/1/20,16.856
2/1/20,15.831
3/1/20,13.951
4/1/20,11.686
5/1/20,13.64
6/1/20,8.341
7/1/20,9.754
8/1/20,16.652
9/1/20,20.164
10/1/20,21.577
11/1/20,17.94
12/1/20,18.593
1/1/21,18.062
2/1/21,15.631
3/1/21,14.96
4/1/21,12.906
5/1/21,11.949
6/1/21,15.48
7/1/21,12.231
8/1/21,18.409
9/1/21,24.013
