date,gwsa
4/1/02,-4.825
5/1/02,-3.822
8/1/02,-1.035
9/1/02,0.078
10/1/02,-0.391
11/1/02,-0.488
12/1/02,-2.951
1/1/03,-3.572
2/1/03,-4.936
3/1/03,-5.011
4/1/03,-5.93
5/1/03,-3.632
7/1/03,-1.991
8/1/03,-1.896
9/1/03,-0.844
10/1/03,-0.831
11/1/03,-0.817
12/1/03,-3.008
1/1/04,-5.413
2/1/04,-7.916
3/1/04,-5.567
4/1/04,-3.757
5/1/04,-2.745
6/1/04,-1.741
7/1/04,-1.995
8/1/04,-0.774
9/1/04,-0.492
10/1/04,0.443
11/1/04,-3.169
12/1/04,-5.98
1/1/05,-6.545
2/1/05,-6.202
3/1/05,-5.689
4/1/05,-3.333
5/1/05,-2.646
6/1/05,-1.784
7/1/05,-1.319
8/1/05,-0.88
9/1/05,-0.435
10/1/05,-0.401
11/1/05,-0.085
12/1/05,-1.441
1/1/06,-2.86
2/1/06,-4.22
3/1/06,-3.035
4/1/06,-2.395
5/1/06,-1.544
6/1/06,-0.462
7/1/06,0.745
8/1/06,1.201
9/1/06,1.698
10/1/06,1.467
11/1/06,0.513
12/1/06,-0.986
1/1/07,-3.025
2/1/07,-3.307
3/1/07,-3.107
4/1/07,-2.98
5/1/07,-1.259
6/1/07,0.196
7/1/07,0.412
8/1/07,1.377
9/1/07,2.01
10/1/07,2.383
11/1/07,2.116
12/1/07,0.964
1/1/08,0.407
2/1/08,-0.161
3/1/08,-0.682
4/1/08,1.726
5/1/08,2.066
6/1/08,3.475
7/1/08,3.201
8/1/08,3.701
9/1/08,4.64
10/1/08,4.57
11/1/08,4.953
12/1/08,3.761
1/1/09,2.548
2/1/09,2.581
3/1/09,1.98
4/1/09,2.828
5/1/09,4.236
6/1/09,4.784
7/1/09,5.167
8/1/09,5.855
9/1/09,6.119
10/1/09,6.228
11/1/09,5.007
12/1/09,4.974
1/1/10,2.476
2/1/10,1.167
3/1/10,0.269
4/1/10,1.228
5/1/10,2.033
6/1/10,3.632
7/1/10,3.868
8/1/10,5.23
9/1/10,5.949
10/1/10,5.776
11/1/10,5.253
12/1/10,4.78
2/1/11,-0.313
3/1/11,1.201
4/1/11,1.373
5/1/11,2.92
7/1/11,5.154
8/1/11,5.058
9/1/11,5.707
10/1/11,5.697
11/1/11,5.181
1/1/12,3.512
2/1/12,-3.097
3/1/12,-1.082
4/1/12,0.573
6/1/12,2.397
7/1/12,3.973
8/1/12,4.654
9/1/12,5.152
11/1/12,3.777
12/1/12,1.014
1/1/13,-0.119
2/1/13,-2.738
4/1/13,0.242
5/1/13,1.65
6/1/13,2.917
7/1/13,3.835
10/1/13,5.886
11/1/13,5.278
12/1/13,2.273
1/1/14,1.766
3/1/14,1.575
4/1/14,4.139
5/1/14,4.492
6/1/14,5.893
8/1/14,7.2
9/1/14,8.742
10/1/14,7.495
11/1/14,6.83
1/1/15,3.194
2/1/15,0.537
3/1/15,0.382
4/1/15,2.384
7/1/15,6.982
8/1/15,7.392
9/1/15,7.926
12/1/15,5.723
1/1/16,4.06
2/1/16,3.34
3/1/16,4.925
5/1/16,6.165
6/1/16,6.992
7/1/16,7.289
8/1/16,8.303
11/1/16,9.197
12/1/16,7.095
1/1/17,4.579
3/1/17,4.383
4/1/17,7.24
5/1/17,8.978
6/1/17,9.56
6/1/18,9.766
7/1/18,10.44
10/1/18,10.084
11/1/18,9.288
12/1/18,5.874
1/1/19,6.303
2/1/19,3.074
3/1/19,3.275
4/1/19,5.307
5/1/19,6.583
6/1/19,6.14
7/1/19,8.287
8/1/19,9.042
9/1/19,10.048
10/1/19,8.835
11/1/19,9.213
12/1/19,5.875
1/1/20,1.088
2/1/20,0.756
3/1/20,0.731
4/1/20,4.029
5/1/20,4.625
6/1/20,6.92
7/1/20,9.127
8/1/20,9.497
9/1/20,8.227
10/1/20,8.344
11/1/20,7.532
12/1/20,5.848
1/1/21,4.433
2/1/21,6.595
3/1/21,6.809
4/1/21,8.315
5/1/21,9.3
6/1/21,10.973
7/1/21,10.959
8/1/21,10.828
9/1/21,11.754
10/1/21,10.758
11/1/21,9.232
12/1/21,6.745
1/1/22,3.566
